,id,answers
20,20,http://dbpedia.org/resource/Gregory_J._Harbaugh http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer http://dbpedia.org/resource/Kevin_Whitrick http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Cross_Houses
21,21,http://dbpedia.org/resource/Ethan_Luck http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/California
22,22,http://dbpedia.org/resource/Brett_Kull http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/United_States
23,23,"http://dbpedia.org/resource/Kathryn_P._Hire http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Mobile,_Alabama http://dbpedia.org/resource/Erlet_Shaqe http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer http://dbpedia.org/resource/Dinesh_Chandra_Yadav http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Bihar http://dbpedia.org/resource/Kevin_Whitrick http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer"
24,24,"http://dbpedia.org/resource/Bruce_Robb http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Oconomowoc,_Wisconsin"
25,25,http://dbpedia.org/resource/Joan_Higginbotham http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer
26,26,http://dbpedia.org/resource/Dieter_Zetsche http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Turkey
27,27,http://dbpedia.org/resource/David_Westerfield http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/United_States
28,28,http://dbpedia.org/resource/Clayton_Anderson http://dbpedia.org/ontology/nationality http://dbpedia.org/resource/United_States
29,29,http://dbpedia.org/resource/Bruce_Robb http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/United_States
