,query
41,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}LIMIT 50 OFFESET 50"
42,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 50
OFFESET 50"
43,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 50
OFFSET 50"
44,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 100
OFFSET 50"
45,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 100
OFFSET 100"
46,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 100
OFFSET 200"
47,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 50
OFFSET 190"
48,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 50
OFFSET 160"
49,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
    ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur .
 
}
LIMIT 50
OFFSET 160"
50,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays .
OPTIONAL { 
   ?fromage dbpprop:country ?pays .
    ?fromage dbpprop:name ?nomFromage .
    ?fromage dbpprop:source ?typeLait .
    ?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur }.
 
}
LIMIT 50
OFFSET 160"
