,id,answers
20,22,http://dbpedia.org/resource/Erich_Marks http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ernst_Gennat http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wolfgang_Heinz_(criminologist) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Julius_Friedrich_Heinrich_Abegg http://purl.org/dc/terms/subject
21,23,http://dbpedia.org/resource/Cornelia_Rudloff-Sch%C3%A4ffer http://purl.org/dc/terms/subject http://dbpedia.org/resource/J%C3%BCrgen_Schade http://purl.org/dc/terms/subject http://dbpedia.org/resource/Eggert_Reeder http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hermann_Lutz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Klaus_Tscheuschner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ernst_Christian_Wilhelm_Ackermann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Carmen_Everts http://purl.org/dc/terms/subject http://dbpedia.org/resource/Adolf_Friedrich_von_Reinhard http://purl.org/dc/terms/subject http://dbpedia.org/resource/Werner_Ungerer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hans-J%C3%BCrgen_Weber http://purl.org/dc/terms/subject http://dbpedia.org/resource/Louis_Nels http://purl.org/dc/terms/subject http://dbpedia.org/resource/Heinz_Fromm http://purl.org/dc/terms/subject http://dbpedia.org/resource/Paulus_Hector_Mair http://purl.org/dc/terms/subject http://dbpedia.org/resource/Heinrich_Deubel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Heino_Hankewitz http://purl.org/dc/terms/subject
22,24,http://www.w3.org/2000/01/rdf-schema#label
23,25,http://dbpedia.org/resource/Moritz_Georg_Weidmann_(1686_%E2%80%93_1743) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Bernard_Quaritch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johannes_Mentelin http://purl.org/dc/terms/subject http://dbpedia.org/resource/Heinrich_Wenner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Alexander_Duncker http://purl.org/dc/terms/subject http://dbpedia.org/resource/Sigmund_Feyerabend http://purl.org/dc/terms/subject http://dbpedia.org/resource/Sebastian_Gryphius http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johann_B%C3%A4mler http://purl.org/dc/terms/subject http://dbpedia.org/resource/Carl_Friedrich_Ernst_Frommann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johann_Heinrich_Meyer_(publisher) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johann_Philipp_Palm http://purl.org/dc/terms/subject http://dbpedia.org/resource/Friedrich_Dedekind http://purl.org/dc/terms/subject
24,26,http://www.w3.org/2000/01/rdf-schema#label
25,27,http://dbpedia.org/resource/Wunibald_Kamm http://purl.org/dc/terms/subject http://dbpedia.org/resource/Willy_Rampf http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilhelm_Maybach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Dieter_Zetsche http://purl.org/dc/terms/subject http://dbpedia.org/resource/Fritz_Fend http://purl.org/dc/terms/subject http://dbpedia.org/resource/Rudolf_Uhlenhaut http://purl.org/dc/terms/subject http://dbpedia.org/resource/Otto_K%C3%A4ssbohrer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Norbert_Singer http://purl.org/dc/terms/subject
26,28,http://www.w3.org/2000/01/rdf-schema#label
27,29,http://dbpedia.org/resource/Caspar_Neher http://purl.org/dc/terms/subject http://dbpedia.org/resource/Angelo_Quaglio http://purl.org/dc/terms/subject http://dbpedia.org/resource/Eugen_Quaglio http://purl.org/dc/terms/subject http://dbpedia.org/resource/Lorenzo_Quaglio http://purl.org/dc/terms/subject http://dbpedia.org/resource/Simon_Quaglio http://purl.org/dc/terms/subject http://dbpedia.org/resource/Angelo_Quaglio_the_Elder http://purl.org/dc/terms/subject http://dbpedia.org/resource/Domenico_Quaglio_the_Younger http://purl.org/dc/terms/subject http://dbpedia.org/resource/Giovanni_Maria_Quaglio_the_Younger http://purl.org/dc/terms/subject http://dbpedia.org/resource/Karl_von_Appen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Willi_Baumeister http://purl.org/dc/terms/subject http://dbpedia.org/resource/Giuseppe_Quaglio http://purl.org/dc/terms/subject
28,30,http://www.w3.org/2000/01/rdf-schema#label
29,32,http://www.w3.org/2000/01/rdf-schema#label
30,33,http://dbpedia.org/resource/Elmar_Keusgen http://purl.org/dc/terms/subject
31,34,http://www.w3.org/2000/01/rdf-schema#label
32,36,http://www.w3.org/2000/01/rdf-schema#label
33,37,http://dbpedia.org/resource/Thomas_Biskup http://purl.org/dc/terms/subject
34,38,http://www.w3.org/2000/01/rdf-schema#label
35,39,http://dbpedia.org/resource/Max_Otte http://purl.org/dc/terms/subject
36,40,http://www.w3.org/2000/01/rdf-schema#label
37,42,http://www.w3.org/2000/01/rdf-schema#label
